classe,municipio,uf,tipo,situacao,area,vpp,vup,vm,lances,exposicao,selic,igpm,ipca,incc,pib,idade,condominio,esquina,vagas,abaixo,arrematado
3,3550308,35,3,1,11820,14657271.98,8820746.19,12349045,0,43,6.5,108074,45568,39992,1.3,31,2,1,0,0.4,NAO
1,3548500,35,1,1,145.62,460922.29,230461.14,347996,11,21,6.5,108074,45568,39992,1.3,38,1,2,1,0.51,SIM
1,3550308,35,1,1,566784,1529829.36,917897.62,1285057,0,21,6.5,108074,45568,39992,1.3,32,1,2,3,0.4,NAO
2,2927408,29,7,1,44.8,400000,259503.05,352924,0,14,6.5,108074,45568,39992,1.3,21,1,2,0,0.36,NAO
1,3548708,35,1,1,62169,177138.81,106283.29,148797,1,20,6.5,108074,45568,39992,1.3,21,1,2,1,0.4,SIM
1,3538709,35,2,1,125,106352.58,63811.55,89336,0,20,6.5,108074,45568,39992,1.3,15,2,2,0,0.4,NAO
1,3550308,35,1,2,89.48,342837.85,171418.97,257128,90,20,6.5,108074,45568,39992,1.3,44,1,2,0,0.5,SIM
1,3550308,35,1,2,34.09,152525.36,76491.47,114737,16,21,6.5,108074,45568,39992,1.3,30,1,1,0,0.5,SIM
2,3515004,35,8,1,4765151.25,800445.16,400222.58,600334,0,20,6.5,108074,45568,39992,1.3,37,2,2,0,0.5,NAO
1,3550308,35,2,1,117.56,559970.54,413807.01,525535,1,7,6.5,108074,45568,39992,1.3,6,1,2,2,0.27,SIM
1,3552205,35,1,1,66401,224574.27,135148.79,189208,0,20,6.5,108074,45568,39992,1.3,13,1,2,1,0.4,NAO
1,3552205,35,2,1,300,718138.62,432175.82,605046,0,20,5.5,31665,2535,4237,1.1,21,2,2,0,0.4,NAO
2,3547304,35,5,2,102.13,340400.35,170710.77,256066,0,20,5.5,31665,2535,4237,1.1,21,1,2,0,0.5,NAO
1,3550308,35,1,2,975.54,849000,849000,1366890,0,0,6.5,108074,45568,39992,1.3,35,1,2,5,0.61,NAO
1,3550308,35,1,1,183.1,971199.14,487056.36,730585,0,20,6.5,108074,45568,39992,1.3,33,1,2,0,0.5,NAO
1,3550308,35,2,1,525,814446.85,571823.13,743370,0,20,6.5,108074,45568,39992,1.3,20,2,2,0,0.3,NAO
1,3548807,35,1,1,93.81,519807.61,312820.22,437948,0,20,6.5,108074,45568,39992,1.3,22,1,2,0,0.4,NAO
1,3552205,35,2,1,250,149000.15,89668.29,125536,0,20,6.5,108074,45568,39992,1.3,40,2,2,0,0.4,NAO
1,3550308,35,2,1,247,1176101.3,707777.75,990889,0,20,6.5,108074,45568,39992,1.3,44,2,2,0,0.4,NAO
1,3550308,35,2,1,494,3401697.53,1705951.29,2558927,0,20,6.5,108074,45568,39992,1.3,42,2,2,0,0.5,NAO
1,3523404,35,2,1,1032.2,621662.53,374116.51,523763,0,20,6.5,108074,45568,39992,1.3,28,2,2,0,0.4,NAO
1,3550308,35,2,1,79.65,254208.94,127104.47,190657,61,21,6.5,108074,45568,39992,1.3,43,2,2,0,0.5,SIM
1,3550308,35,8,1,168249.33,397801.53,239396.96,335156,0,21,6.5,108074,45568,39992,1.3,8,2,2,0,0.4,NAO
1,3550308,35,1,2,114.62,324949.72,195554.74,273777,0,21,6.5,108074,45568,39992,1.3,39,1,2,1,0.4,NAO
2,3550308,35,7,1,50,81386.95,48978.67,68570,0,21,6.5,108074,45568,39992,1.3,44,1,2,0,0.4,NAO
1,3550308,35,1,1,72.24,316055.53,158501.85,237753,1,21,6.5,108074,45568,39992,1.3,16,1,2,1,0.5,SIM
1,3550308,35,2,1,110,456959.9,229165.39,343748,1,0,6.5,108074,45568,39992,1.3,35,2,2,0,0.5,SIM
1,3550308,35,1,1,84.77,238529.27,238529.27,283850,0,0,6.5,108074,45568,39992,1.3,35,1,2,1,0.19,NAO
1,3550308,35,1,1,105.66,265898.1,160017.48,224024,0,21,6.5,108074,45568,39992,1.3,31,1,2,0,0.4,NAO
1,3509254,35,8,1,285,10543.61,6345.15,8883,0,21,6.5,108074,45568,39992,1.3,30,2,2,0,0.4,NAO
1,3550308,35,1,1,129.74,766953.33,461552.51,646174,0,43,6.5,108074,45568,39992,1.3,30,1,2,1,0.4,NAO
2,3550308,35,7,1,1200,3709553.01,3709553.01,5527234,2,0,6.5,108074,45568,39992,1.3,43,2,2,0,0.49,SIM
1,4314902,43,1,1,177.39,1797531.24,1354669.57,1693337,0,1,6.5,108074,45568,39992,1.3,16,1,2,2,0.25,NAO
1,3523404,35,1,1,5085.02,1590543.83,957189.27,1340065,0,20,6.5,108074,45568,39992,1.3,32,2,1,0,0.4,NAO
1,3523404,35,2,1,250,990624.87,596158.04,834621,0,20,6.5,108074,45568,39992,1.3,40,2,2,0,0.4,NAO
1,3505708,35,8,1,631.71,2052078.65,1029117.43,1543676,0,20,6.5,108074,45568,39992,1.3,31,2,2,0,0.5,NAO
1,3550308,35,1,1,156.05,477216.15,287188.68,402064,8,20,6.5,108074,45568,39992,1.3,16,1,2,2,0.4,SIM
1,3550308,35,1,1,568121,2448941.1,1830783.84,2306788,0,2,6.5,108074,45568,39992,1.3,27,1,2,4,0.26,NAO
1,3550308,35,1,2,228.35,646977.75,324459.34,486689,0,20,6.5,108074,45568,39992,1.3,16,1,2,2,0.5,NAO
1,3530607,35,2,1,150,303997.88,213436.91,277468,0,20,6.5,108074,45568,39992,1.3,20,2,2,0,0.3,NAO
1,3550308,35,2,1,250,514061.9,257802.04,386703,0,20,6.5,108074,45568,39992,1.3,44,2,2,0,0.5,NAO
1,2927408,29,1,1,80,533792.16,418698.14,510812,0,7,6.5,108074,45568,39992,1.3,5,1,1,1,0.22,NAO
1,3550308,35,2,1,344,644304.24,387742.29,542839,0,21,6.5,108074,45568,39992,1.3,6,2,2,0,0.4,NAO
1,3522109,35,2,1,600,409454.95,204727.48,307091,10,20,6.5,108074,45568,39992,1.3,42,2,2,0,0.5,SIM
1,3550308,35,1,1,106.02,352275.43,176666.13,264999,29,21,6.5,108074,45568,39992,1.3,31,1,2,1,0.5,SIM
1,3550308,35,1,1,293375,1668064.88,1003841.43,1405378,3,21,6.5,108074,45568,39992,1.3,18,1,2,3,0.4,SIM
1,3550308,35,1,1,124.32,976442.58,685560.33,891228,0,21,6.5,108074,45568,39992,1.3,44,1,2,0,0.3,NAO
